subject,PCR,uniqueseq,count,freq
58,F3F_S1R,F3F_S1R.6,688,16.7315175097276
59,F3F_S1R,F3F_S1R.6,1,0.0574712643678161
6,F3F_S1R,F3F_S1R.6,1,0.0349772647778944
60,F3F_S1R,F3F_S1R.6,0,0
61,F3F_S1R,F3F_S1R.6,0,0
62,F3F_S1R,F3F_S1R.6,0,0
63,F3F_S1R,F3F_S1R.6,481,16.9009135628953
66,F3F_S1R,F3F_S1R.6,1957,31.4782049219881
67,F3F_S1R,F3F_S1R.6,2524,30.0834326579261
68,F3F_S1R,F3F_S1R.6,846,19.5924038906901
69,F3F_S1R,F3F_S1R.6,373,15.9061833688699
7,F3F_S1R,F3F_S1R.6,2,0.0287852619458837
70,F3F_S1R,F3F_S1R.6,2,0.0242954324586978
71,F3F_S1R,F3F_S1R.6,1261,23.2442396313364
72,F3F_S1R,F3F_S1R.6,0,0
73,F3F_S1R,F3F_S1R.6,725,15.4584221748401
74,F3F_S1R,F3F_S1R.6,742,11.6611661166117
75,F3F_S1R,F3F_S1R.6,5,0.0437943417710432
76,F3F_S1R,F3F_S1R.6,1,0.0192122958693564
77,F3F_S1R,F3F_S1R.6,1,0.0587199060481503
78,F3F_S1R,F3F_S1R.6,1338,24.8007414272475
79,F3F_S1R,F3F_S1R.6,1,0.0139004726160689
8,F3F_S1R,F3F_S1R.6,1,0.0163988192850115
80,F3F_S1R,F3F_S1R.6,2,0.0355682020273875
81,F3F_S1R,F3F_S1R.6,519,12.6801856828732
82,F3F_S1R,F3F_S1R.6,3,0.029800337737161
84,F3F_S1R,F3F_S1R.6,488,16.4475901584092
85,F3F_S1R,F3F_S1R.6,841,9.87668819729888
87,F3F_S1R,F3F_S1R.6,753,15.6907689101896
90,F3F_S1R,F3F_S1R.6,1011,16.7633891560272
91,F3F_S1R,F3F_S1R.6,794,16.7369308600337
92,F3F_S1R,F3F_S1R.6,0,0
93,F3F_S1R,F3F_S1R.6,644,15.6045553670947
95,F3F_S1R,F3F_S1R.6,1,0.0324149108589951
10,F3F_S1R,F3F_S1R.7,816,17.8790534618755
12,F3F_S1R,F3F_S1R.7,0,0
13,F3F_S1R,F3F_S1R.7,0,0
15,F3F_S1R,F3F_S1R.7,0,0
16,F3F_S1R,F3F_S1R.7,0,0
17,F3F_S1R,F3F_S1R.7,407,26.1064785118666
